metabolite,metabolite class,Time,predict_value0,predict_value1,predict_value2,predict_value3,predict_value4,predict_value5,predict_value6,predict_value7,predict_value8,predict_value9,mean,std,error
Acylcarnitine (14:2) - Tetradecadiencarnitine,Fatty Acyls [FA],52.2,53.409,50.802,52.476,51.795,53.172,53.118,52.908,53.796,50.745,52.386,52.4607,1.052206681,0.2607
Acylcarnitine (12:0) - Dodecanoylcarnitine,Fatty Acyls [FA],53.4,60.924,62.0835,57.996,60.102,61.779,61.233,63.669,62.31,61.047,61.836,61.29795,1.502750154,7.89795
Acylcarnitine (14:0-OH) - Hydroxytetradecanoylcarnitine,Fatty Acyls [FA],59.4,68.2005,67.299,66.822,68.016,66.5625,67.8735,71.514,71.5845,67.1055,73.065,68.80425,2.33773301,9.40425
Acylcarnitine (14:1) Myristoleoylcarnitine,Fatty Acyls [FA],64.8,57.9915,57.9135,61.5585,57.1635,57.5205,58.833,56.565,58.926,57.849,56.565,58.08855,1.461138606,6.71145
Bilirubin,Porphyrin metabolite,71.4,176.5065,249.132,254.481,184.551,198.465,207.558,177.051,181.2285,177.6585,238.911,204.55425,31.47671263,133.15425
Acylcarnitine (14:0) - Tetradecanoylcarnitine,Fatty Acyls [FA],77.4,76.668,73.593,72.8475,73.3365,72.696,75.5295,75.51,71.892,72.5325,76.29,74.0895,1.736326438,3.3105
LPC(0:0/14:0),Glycerophospholipids [GP],77.4,85.7445,82.596,85.0785,84.2985,84.51,84.7575,84.18,86.3745,83.742,85.2555,84.6537,1.061493947,7.2537
LPA(0:0/18:2),Glycerophospholipids [GP],81.6,90.1905,91.74,91.3155,92.979,91.4595,91.458,92.3175,90.6855,91.3005,90.12,91.3566,0.88616257,9.7566
LPC(14:0/0:0),Glycerophospholipids [GP],83.4,82.9575,86.811,82.95,83.898,83.7525,85.368,83.718,83.3415,81.8295,82.8945,83.75205,1.408926551,0.35205
LPA(18:2/0:0),Glycerophospholipids [GP],85.8,92.586,91.6935,91.461,93.8895,92.253,92.871,92.9085,91.599,92.469,94.9695,92.67,1.088106612,6.87
LPA(20:4/0:0),Glycerophospholipids [GP],85.8,91.986,94.4535,92.4045,90.705,92.3715,94.1415,91.9635,93.8805,90.1815,92.2605,92.4348,1.398667723,6.6348
LPC(16:1/0:0),Glycerophospholipids [GP],91.8,94.347,91.9215,92.775,96.546,91.4325,89.727,95.7825,88.716,91.5345,90.4905,92.32725,2.555738959,0.52725
Acylcarnitine (22:6),Fatty Acyls [FA],92.4,125.229,110.142,124.5285,110.8065,120.9675,106.4415,133.896,124.9515,108.582,117.9555,118.35,9.063119468,25.95
Sphingosine-1-phosphate,Sphingolipids [SP],93.6,104.349,105.1695,98.6145,100.509,100.0695,106.0185,104.1075,101.6055,106.188,101.823,102.8454,2.669670036,9.2454
Acylcarnitine (18:2) - Linoleylcarnitine,Fatty Acyls [FA],95.4,94.8885,97.3035,99.762,95.9535,93.9315,96.0645,94.704,94.227,93.7095,91.311,95.1855,2.280213367,0.2145
LPC(0:0/18:2),Glycerophospholipids [GP],95.4,99.6465,99.588,99.8355,98.727,100.149,100.3575,101.0505,97.9785,99.819,100.089,99.72405,0.853848362,4.32405
Acylcarnitine (20:4),Fatty Acyls [FA],96.6,103.8405,96.0255,94.4775,99.4305,93.957,103.419,98.1045,100.581,98.322,107.766,99.59235,4.409219798,2.99235
LPC(0:0/20:4),Glycerophospholipids [GP],96.6,107.205,104.4135,101.6805,101.886,105.084,104.8005,103.683,105.3285,102.4815,101.322,103.78845,1.91495092,7.18845
LPA(16:0/0:0),Glycerophospholipids [GP],97.8,113.925,109.254,109.869,110.1765,111.48,103.32,113.7555,109.1025,109.7505,109.9935,110.06265,2.939304208,12.26265
LPC(15:0/0:0),Glycerophospholipids [GP],98.4,102.846,101.2575,103.9005,100.443,103.0995,104.9025,103.281,106.0095,98.757,101.4825,102.5979,2.156737258,4.1979
LPC(18:2/0:0),Glycerophospholipids [GP],101.4,100.686,100.1055,101.6535,101.331,100.4475,101.4825,102.585,103.2465,101.211,101.2935,101.4042,0.944533165,0.0042
LPC(20:4/0:0),Glycerophospholipids [GP],101.4,104.1705,104.4525,104.0565,104.2935,106.0755,103.977,104.9685,110.7345,105.3015,106.6215,105.46515,2.05540999,4.06515
LPE(18:2/0:0),Glycerophospholipids [GP],104.4,95.445,93.5115,95.073,93.0675,94.0245,95.229,95.415,95.232,94.0395,96.8355,94.78725,1.116673016,9.61275
LPA(18:1/0:0),Glycerophospholipids [GP],105.6,107.0385,103.584,107.634,108.6165,108.5445,105.852,109.386,106.11,108.012,106.8765,107.1654,1.687860954,1.5654
LPC(17:1/0:0),Glycerophospholipids [GP],106.2,100.17,102.4935,101.4195,101.982,100.155,101.205,99.018,101.5635,100.9965,99.156,100.8159,1.160606781,5.3841
Acylcarnitine (16:0) - Palmitoylcarnitine,Fatty Acyls [FA],107.4,119.3655,115.311,118.7205,108.708,116.601,114.9855,116.964,114.936,115.488,109.974,115.10535,3.405850074,7.70535
LPC(0:0/16:0),Glycerophospholipids [GP],107.4,111.474,114.555,112.128,111.2685,112.143,112.179,114.081,111.3345,112.569,109.782,112.1514,1.382276058,4.7514
LPC(16:0/0:0),Glycerophospholipids [GP],114,114.2415,111.978,115.1565,112.692,115.8405,114.9405,113.604,116.238,114.465,114.8535,114.40095,1.332069452,0.40095
Acylcarnitine (18:1) - Oleoylcarnitine,Fatty Acyls [FA],117,113.8815,109.083,111.543,114.822,112.0905,106.4715,114.336,108.546,105.492,113.391,110.96565,3.362722517,6.03435
LPC(0:0/18:1),Glycerophospholipids [GP],117,114.0135,117.912,115.263,116.3085,112.2045,116.376,114.429,114.561,115.2975,114.819,115.1184,1.543527972,1.8816
LPE(16:0/0:0),Glycerophospholipids [GP],118.2,113.604,110.37,109.5615,117.9465,109.131,107.439,115.83,119.679,112.29,114.891,113.0742,4.029193579,5.1258
LPC(18:1/0:0),Glycerophospholipids [GP],123,114.735,115.284,115.5525,114.3675,117.174,113.241,115.4445,113.247,113.682,115.662,114.83895,1.241107781,8.16105
LPC(O-16:0/0:0),Glycerophospholipids [GP],127.8,143.478,140.553,142.401,138.483,138.249,142.9785,139.416,139.539,142.395,137.193,140.46855,2.22059317,12.66855
LPC(P-16:0/0:0),Glycerophospholipids [GP],128.4,129.165,121.314,125.0385,122.073,127.005,124.9515,122.928,124.3125,116.8965,124.233,123.7917,3.33243258,4.6083
LPC(17:0/0:0),Glycerophospholipids [GP],130.8,131.583,136.8,131.4435,131.439,134.8875,134.8605,129.4425,131.9955,134.772,133.317,133.05405,2.241217532,2.25405
Acylcarnitine (18:0) - Stearoylcarnitine,Fatty Acyls [FA],139.8,136.2975,129.7575,125.7195,128.8485,128.5575,130.407,131.8335,130.3875,127.9695,126.237,129.6015,3.015135072,10.1985
Retinol,Vitamin,140.4,117.6195,133.155,112.5105,132.984,139.0215,118.857,149.2245,136.7805,127.5975,136.6275,130.43775,11.28867513,9.96225
LPC(0:0/18:0),Glycerophospholipids [GP],140.4,147.3,144.5655,145.821,144.702,143.394,145.188,145.5195,143.6175,147.525,144.231,145.18635,1.40067938,4.78635
Acylcarnitine (20:1),Fatty Acyls [FA],147,140.697,140.499,135.159,140.745,138.7755,141.0135,143.8755,144.0045,138.2685,137.097,140.01345,2.783501217,6.98655
LPC(18:0/0:0),Glycerophospholipids [GP],147.6,144.2925,144.1035,150.228,146.313,143.871,147.435,144.441,145.2315,144.8055,146.2575,145.69785,1.962972548,1.90215
LPE(18:0/0:0),Glycerophospholipids [GP],151.2,132.387,136.62,136.9695,134.49,137.157,133.5,134.685,132.0165,136.9665,133.8675,134.8659,1.956873808,16.3341
Monoglyceride MG(16:0),Glycerolipids [GL],154.2,121.131,121.3875,117.24,120.8115,121.575,120.873,126.354,124.431,126.6225,125.8245,122.625,3.047883364,31.575
Cholesterol sulfate ,Sterol Lipids [ST],157.2,271.7355,336.1605,297.648,275.664,301.929,263.421,282.477,269.151,279.1755,321.225,289.85865,23.94527965,132.65865
LPC(O-18:0/0:0),Glycerophospholipids [GP],162,154.7025,160.935,160.7115,158.457,156.453,155.8755,154.1745,164.8605,155.868,157.4775,157.9515,3.340847198,4.0485
LPC(P-18:0/0:0),Glycerophospholipids [GP],162,152.6835,152.4075,154.5855,151.3935,152.73,149.589,138.834,143.6145,153.483,150.621,149.99415,4.961613268,12.00585
MG(18:1(9Z)/0:0/0:0)[rac],Glycerolipids [GL],162.6,111.5445,118.761,114.5595,118.9395,116.295,118.443,113.3985,112.857,115.686,120.255,116.0739,2.963497106,46.5261
LPE(P-18:0/0:0),Glycerophospholipids [GP],168,147.6975,149.136,142.6935,148.0185,146.631,148.656,140.0265,139.7325,145.491,147.459,145.55415,3.504599867,22.44585
PC(11:0/11:0),Glycerophospholipids [GP],182.4,195.456,198.3825,196.8135,200.3475,195.63,193.2495,179.061,192.672,177.312,190.9695,191.98935,7.781290781,9.58935
LPC(20:0/0:0),Glycerophospholipids [GP],184.2,175.641,174.957,177.597,176.676,180.828,178.257,183.3765,176.271,181.437,173.787,177.88275,3.093448339,6.31725
LPC(22:1/0:0),Glycerophospholipids [GP],187.8,188.811,190.11,194.886,198.5145,194.745,201.261,190.329,194.538,197.655,199.32,195.01695,4.23721489,7.21695
Sphingomyelin SM(d18:1/12:0),Sphingolipids [SP],259.8,326.7945,330.885,327.2115,328.0905,326.3955,332.073,326.3925,322.08,325.1535,327.621,327.2697,2.791124935,67.4697
Cholesterol,Sterol Lipids [ST],277.8,251.748,343.9005,204.5445,276.9825,228.318,251.466,263.1945,260.652,273.78,263.0955,261.76815,36.0963562,16.03185
PG(15:0/15:0),Glycerophospholipids [GP],293.4,353.697,351.4905,353.1315,357.78,361.8885,356.9895,333.969,352.776,353.592,361.1805,353.64945,7.78769658,60.24945
Sphingomyelin SM(d18:2/16:0),Sphingolipids [SP],312,340.7295,334.9275,338.964,337.752,339.6165,340.0305,345.453,340.368,344.028,340.5615,340.24305,2.950653322,28.24305
Acylcarnitine (26:0),Fatty Acyls [FA],313.8,349.608,340.4175,320.454,344.0865,341.619,345.204,340.8765,337.0455,357.903,353.607,343.0821,10.22582853,29.2821
PC(14:0/20:4),Glycerophospholipids [GP],324,365.328,363.2025,368.5575,373.029,338.895,364.4415,372.822,375.9735,358.785,368.4165,364.94505,10.50984762,40.94505
PC(14:0/18:2),Glycerophospholipids [GP],324.6,350.601,347.3145,351.3525,349.5285,357.2535,348.837,352.7955,343.461,349.614,346.4775,349.7235,3.741008955,25.1235
alpha-tocopherol,Vitamin,345,238.644,228.717,220.023,230.586,250.104,248.994,248.865,240.4005,216.579,242.5215,236.5434,12.08304871,108.4566
Sphingomyelin SM(d18:1/16:0),Sphingolipids [SP],346.2,355.3365,350.766,356.8545,355.908,355.053,354.0285,357.933,350.73,354.5925,348.2535,353.94555,3.066817084,7.74555
LacCer(d18:1/16:0),Sphingolipids [SP],350.4,303.6435,291.7515,281.187,300.1545,299.4855,287.0715,280.3575,294.765,278.3325,275.427,289.21755,10.14675724,61.18245
PE(15:0/15:0),Glycerophospholipids [GP],355.8,345.3405,373.503,354.135,347.802,344.949,336.7635,345.927,352.464,350.88,368.3565,352.01205,11.13882887,3.78795
PC(16:0/16:1),Glycerophospholipids [GP],357.6,351.246,353.823,354.549,356.151,355.158,358.2105,352.629,358.035,357.1695,353.667,355.0638,2.324127126,2.5362
Sphingomyelin SM(d18:2/18:0),Sphingolipids [SP],361.8,380.5815,370.965,369.4665,375.0225,373.905,370.3305,372.6345,365.799,371.49,374.073,372.42675,3.919679914,10.62675
SM(d19:1/16:0),Sphingolipids [SP],362.4,370.8525,369.0075,375.447,368.244,368.3745,372.036,363.5025,370.611,366.0975,368.5125,369.2685,3.264876567,6.8685
GlcCer(d18:1/16:0),Sphingolipids [SP],363,330.618,336.726,333.9045,335.556,323.7135,332.3955,321.9735,336.8295,328.482,334.137,331.43355,5.23799122,31.56645
PS(17:0/17:0),Glycerophospholipids [GP],363.6,414.837,402.9495,396.5535,403.383,399.1965,412.7925,390.9165,408.1815,407.484,400.908,403.7202,7.335875265,40.1202
PC(16:0/18:2),Glycerophospholipids [GP],367.2,391.9035,381.5895,381.7755,385.941,384.021,384.732,380.595,383.6625,379.7085,393.4575,384.7386,4.614492616,17.5386
PE(16:0/20:4),Glycerophospholipids [GP],375.6,387.2265,388.794,394.125,396.6555,390.8025,389.55,387.6465,400.9005,379.2885,394.02,390.9009,5.948340912,15.3009
PE(16:0/18:2),Glycerophospholipids [GP],376.2,370.386,372.5985,366.936,379.4505,370.6215,371.9205,365.7165,371.298,368.5635,371.3085,370.87995,3.737818552,5.32005
PA(17:0/17:0),Glycerophospholipids [GP],382.8,445.956,445.7355,452.4,448.95,457.3515,449.7075,449.796,446.307,431.304,454.4895,448.1997,7.043496568,65.3997
PC(16:0/16:0),Glycerophospholipids [GP],388.2,385.7685,376.566,385.875,380.964,390.339,383.865,382.326,379.5795,376.4445,394.0155,383.5743,5.669143842,4.6257
Sphingomyelin SM(d18:1/18:0),Sphingolipids [SP],390,392.646,398.538,395.0505,396.309,400.776,397.2435,399.525,395.1525,396.0975,398.268,396.9606,2.406333019,6.9606
Ceramide Cer(d18:1/16:0),Sphingolipids [SP],394.8,390.276,363.609,385.9995,360.306,374.4405,377.046,370.575,359.019,377.886,380.7015,373.98585,10.59369273,20.81415
SM(d16:1/20:0),Sphingolipids [SP],395.4,395.8035,401.562,393.399,402.24,394.719,394.959,394.6725,399.732,398.5905,395.52,397.11975,3.153387405,1.71975
PC(18:0/22:6),Glycerophospholipids [GP],395.4,408.0495,409.2465,427.6095,410.973,423.5595,425.5275,419.853,403.107,419.715,407.289,415.49295,8.724025162,20.09295
PE(P-16:0/20:4),Glycerophospholipids [GP],397.2,382.044,394.482,382.4565,394.62,398.436,393.3165,400.203,376.8315,385.5375,396.4395,390.43665,8.033162903,6.76335
Sphingomyelin SM(d18:1/20:1),Sphingolipids [SP],400.8,410.151,421.377,411.1155,415.134,420.1785,414.6735,415.335,414.0285,412.713,409.2945,414.40005,3.96441711,13.60005
PE(18:0/20:4),Glycerophospholipids [GP],415.8,401.835,395.1375,398.328,401.2815,396.5625,406.3155,406.5885,402.5715,398.5875,395.532,400.27395,4.141652149,15.52605
Cer(d18:1/17:0),Sphingolipids [SP],416.4,406.308,409.995,409.7445,407.661,395.9235,399.015,406.2735,405.39,402.9045,390.858,403.4073,6.282687156,12.9927
PC(O-16:0/18:1),Glycerophospholipids [GP],422.4,426.6075,420.177,421.9845,420.897,417.8985,432.147,425.757,424.6335,421.4235,415.0005,422.6526,4.849627728,0.2526
PE(P-18:0/22:6),Glycerophospholipids [GP],424.8,474.885,476.9685,458.763,471.273,465.1425,465.5925,468.366,470.064,452.1975,476.4105,467.96625,7.906898926,43.16625
Sphingomyelin SM(d18:1/20:0),Sphingolipids [SP],432,443.34,440.5155,442.056,438.1515,439.692,445.095,440.247,441.3885,441.5385,441.7665,441.37905,1.931550161,9.37905
Ceramide Cer(d18:1/18:0),Sphingolipids [SP],435.6,440.88,440.1285,441.063,440.6505,438.774,431.3115,439.098,438.609,436.7505,436.8195,438.40845,2.933146608,2.80845
PE(P-18:0/20:4),Glycerophospholipids [GP],436.8,415.1145,409.698,412.5675,415.1415,412.6665,414.96,411.3075,410.3805,411.7695,413.238,412.68435,1.955078189,24.11565
SM(d16:1/22:0),Sphingolipids [SP],438.6,444.3435,443.5455,440.661,440.019,441.1065,440.9895,439.4865,441.168,440.964,443.565,441.58485,1.640671577,2.98485
Sphingomyelin SM(d18:2/24:1),Sphingolipids [SP],441,454.812,454.632,452.1915,453.5895,455.973,451.2285,458.9895,455.421,456.7635,457.0065,455.0607,2.319276051,14.0607
Sphingomyelin SM(d18:2/22:0),Sphingolipids [SP],443.4,438.417,440.5395,438.0975,437.985,441.2925,440.9565,443.6625,440.2875,437.172,437.9625,439.63725,2.038294661,3.76275
PC(O-18:0/16:0),Glycerophospholipids [GP],451.8,460.944,452.967,458.0985,461.199,458.8905,458.1195,458.604,450.9,457.989,456.0435,457.3755,3.261758651,5.5755
SM(d18:2/23:0),Sphingolipids [SP],453.6,451.668,450.1365,452.9055,451.701,452.2485,453.177,455.049,451.4595,451.332,452.793,452.247,1.333033008,1.353
PC(P-18:0/18:1),Glycerophospholipids [GP],457.2,451.6485,451.4115,452.0265,452.094,449.583,449.253,449.5275,450.2595,451.1385,448.059,450.5001,1.365714319,6.6999
DG(16:0/16:0),Glycerolipids [GL],460.2,415.7505,415.0185,420.519,423.462,424.8,405.3225,422.4885,414.57,405.711,400.9755,414.86175,8.375665324,45.33825
PC(18:0/18:0),Glycerophospholipids [GP],463.8,461.316,460.5705,466.3605,463.3875,461.652,482.535,467.0835,469.296,462.951,479.4405,467.45925,7.683840877,3.65925
DG(16:0/18:1(11Z)/0:0),Glycerolipids [GL],466.2,421.674,426.408,430.29,418.527,425.376,416.019,419.415,421.47,415.1385,415.881,421.01985,5.048331232,45.18015
PE(P-18:0/18:1),Glycerophospholipids [GP],467.4,427.62,426.549,427.41,423.441,427.917,427.515,432.147,421.3605,429.5145,426.0375,426.95115,2.982342825,40.44885
Sphingomyelin SM(d18:1/24:1),Sphingolipids [SP],469.8,483.237,483.9,484.116,492.8385,483.828,483.5685,486.567,483.981,483.5235,483.771,484.93305,2.92696285,15.13305
Sphingomyelin SM(d18:1/22:0),Sphingolipids [SP],472.2,471.3285,471.684,469.9425,468.831,472.755,471.2115,467.712,470.4495,473.187,467.586,470.4687,1.950867474,1.7313
Ceramide Cer(d18:1/20:0),Sphingolipids [SP],475.2,475.524,475.4295,475.8105,473.9295,477.4605,477.699,476.3205,477.1575,477.45,478.7325,476.55135,1.40895164,1.35135
SM(d16:1/24:0),Sphingolipids [SP],477.6,470.8245,472.428,470.8305,473.526,471.666,469.575,472.0455,473.463,469.1625,470.1945,471.37155,1.518689246,6.22845
Ceramide Cer(d16:1/22:0),Sphingolipids [SP],480,472.668,475.608,478.899,477.753,478.671,481.176,478.146,476.5695,480.099,477.8235,477.7413,2.389645664,2.2587
Sphingomyelin SM(d18:2/24:0),Sphingolipids [SP],481.2,473.22,472.971,471.783,475.7805,478.3815,477.015,474.036,471.3855,473.4645,472.6155,474.06525,2.286146895,7.13475
GlcCer(d18:1/24:1(15Z)),Sphingolipids [SP],483.6,462.7095,467.052,466.7625,464.7525,462.063,457.3035,460.7325,465.669,469.659,458.997,463.57005,3.893594101,20.02995
SM(d18:1/23:0),Sphingolipids [SP],490.2,483.786,486.828,483.0825,483.9375,486.306,483.084,485.97,487.1055,485.007,482.04,484.71465,1.77386012,5.48535
DG(18:0/16:0/0:0),Glycerolipids [GL],495,467.2965,468.885,466.083,467.865,472.1835,465.231,460.026,466.395,464.886,470.3145,466.91655,3.326931398,28.08345
DG(18:0/18:1(9Z)/0:0)[iso2],Glycerolipids [GL],501,464.9505,463.923,463.4175,461.409,462.639,462.471,465.531,461.9085,464.0715,460.9365,463.12575,1.513549016,37.87425
LacCer(d18:1/24:0),Sphingolipids [SP],505.8,434.3445,445.812,437.502,444.0375,442.0005,446.5425,452.2215,460.764,441.966,435.765,444.09555,7.956029036,61.70445
Sphingomyelin SM(d18:1/24:0),Sphingolipids [SP],508.2,547.881,545.514,521.2695,516.96,520.266,515.9565,518.7045,515.604,525.627,538.392,526.61745,12.51050101,18.41745
Ceramide Cer(d18:1/24:1(15Z)),Sphingolipids [SP],510.6,508.0635,504.8685,504.4065,505.119,509.139,508.0065,502.4625,505.1175,504.7035,503.0955,505.4982,2.201635846,5.1018
Ceramide Cer(d18:1/22:0),Sphingolipids [SP],511.2,504.507,503.7915,502.608,504.2865,502.0335,501.276,504.7905,503.955,500.532,499.0995,502.68795,1.916642122,8.51205
beta-Carotene,Vitamin,515.4,381.723,384.258,414.0675,376.563,373.068,369.237,377.823,424.236,332.451,372.0735,380.55,25.03259306,134.85
Ceramide Cer(d18:1/23:0),Sphingolipids [SP],527.4,517.041,519.6435,516.858,513.708,512.6505,513.3015,514.017,514.6995,516.699,515.3955,515.40135,2.153628618,11.99865
Ceramide Cer(d18:1/24:0),Sphingolipids [SP],543.6,525.8145,525.189,528.5715,529.2255,528.966,527.4435,531.489,530.295,528.9945,527.04,528.30285,1.948875374,15.29715
DG(19:0/0:0/19:0),Glycerolipids [GL],555,529.083,531.6735,521.3475,534.7035,533.196,529.977,532.437,543.051,538.95,524.298,531.87165,6.36568266,23.12835
Ceramide Cer(d18:1/25:0),Sphingolipids [SP],558,539.406,535.506,538.182,535.7505,536.271,537.1065,536.9055,535.587,537.963,537.333,537.00105,1.272171185,20.99895
TG(14:1(9Z)/14:1(9Z)/16:0)[iso3],Glycerolipids [GL],574.8,581.265,585.7725,567.486,573.8565,579.8565,569.799,588.36,573.957,581.631,571.671,577.36545,7.010920662,2.56545
Cholesterol ester CE(20:5),Sterol Lipids [ST],591,599.4,599.517,601.227,602.367,597.072,606.111,598.863,600.78,599.4525,600.417,600.52065,2.433174927,9.52065
TG(12:0/14:0/18:1(9Z))[iso6],Glycerolipids [GL],594,586.089,587.01,591.522,589.56,585.681,593.706,598.056,587.805,586.338,586.125,589.1892,4.092043304,4.8108
Cholesterol ester CE(22:6),Sterol Lipids [ST],597.6,603.903,604.863,602.649,601.338,603.771,604.683,601.1115,602.5065,603.156,604.314,603.2295,1.317942715,5.6295
Cholesterol ester CE(18:3),Sterol Lipids [ST],604.2,611.718,610.239,607.593,609.231,610.455,610.329,608.484,611.622,606.948,609.3375,609.59565,1.590132141,5.39565
PC(23:0/23:0),Glycerophospholipids [GP],605.4,560.541,551.841,564.066,551.004,546.705,552.558,559.899,552.3855,549.9015,562.596,555.1497,6.036171999,50.2503
Cholesterol ester CE(20:4),Sterol Lipids [ST],610.2,602.439,604.845,600.825,604.506,604.0095,604.545,603.519,601.035,604.053,602.4555,603.2232,1.459117507,6.9768
TG(15:0/15:0/15:0),Glycerolipids [GL],622.2,603.192,610.59,605.757,612.408,610.4955,600.5835,601.8315,602.1045,606.879,606.4335,606.02745,4.124813938,16.17255
Cholesterol ester CE(18:2),Sterol Lipids [ST],623.4,614.3025,616.305,610.8495,619.818,615.453,612.912,617.8245,618.492,613.575,609.66,614.91915,3.297254422,8.48085
Cholesterol ester CE(20:3),Sterol Lipids [ST],627.6,614.538,616.221,611.673,618.03,615.6,616.194,618.945,616.191,616.647,615.9285,615.99675,1.953938235,11.60325
"TG(16:0/16:0/18:2(9Z,12Z))[iso3]",Glycerolipids [GL],635.4,629.31,613.719,616.833,612.237,614.6865,626.046,627.543,610.914,623.2155,622.929,619.7433,6.822514155,15.6567
Cholesterol ester CE(18:1),Sterol Lipids [ST],642.6,610.614,612.195,613.215,613.254,606.945,610.704,606.735,606.915,606.342,612.936,609.9855,2.946274682,32.6145
TG(17:0/17:0/17:0),Glycerolipids [GL],672.6,638.889,637.722,638.22,639.222,637.782,639.762,638.436,637.521,641.811,630.5205,637.98855,2.914452955,34.61145
